Quantity,Order Number,Description/MPN
1,BQT BN323,Netzteil be quiet! TFX Power 3 300W Gold
1,BGT TFP 342,"Alu-Teilfrontplatten 128,4 x 213,2 x 2,5mm"
6,HS 25-14,"Hohlstecker Knickschutz, Ø außen: 5,5 mm, Ø innen: 2,5 mm"
2,HEBL 21,"Einbaubuchse Zentraleinbau, Ø außen: 5,6 mm, Ø innen: 2,1 mm"
1,BGT 384-240,"19 Zoll-Baugruppenträger, 3HE 84TE, 238 mm tief"
5,LIYCY 10-5,"Steuerleitung 10x0,14mm², geschirmt, 5m-Ring"
18,KAPPE 25M,"D-SUB-Kappe f. 25-polig D-Sub, metallisiert"
8,KAPPE 15M,"D-SUB-Kappe f. 15-polig D-Sub, metallisiert"
26,KAPPE 09M,"D-SUB-Kappe f. 9-polig D-Sub, metallisiert"
12,D-SUB ST 25,"D-SUB-Stecker, 25-polig, Lötkelch"
15,D-SUB BU 25,"D-SUB-Buchse, 25-polig, Lötkelch"
18,D-SUB ST 09,"D-SUB-Stecker, 9-polig, Lötkelch"
2,MOLEX 39301240,"Molex, Stiftleiste - Mini-Fit Jr - 2x12-polig - Stecker"
5,HAN 03 132 6921,"Messerleiste C, gewinkelt, 32-pol"
15,PFL 10,"Pfostenbuchse, 10-polig, mit Zugentlastung"
1,AWG 28-26G 3M,"Flachbandkabel AWG28, 26-pol., grau, 3m-Ring"
6,D-SUB ST 25FB,"D-SUB-Stecker, 25-pol, Flachbandkabel, ohne Isolator"
5,D-SUB ST 09FB,"D-SUB-Stecker, 9-pol, Flachbandkabel, ohne Isolator"
10,BGT FSC 160,"Kartenführung zum Einrasten, 160 mm (Fischer)"
5,BGT SFP 304,"Alu-Steckfrontplatten 128,4 x 20,0 x 2,5mm"
5,D-SUB BU 09FB,"D-SUB-Buchse, 9-pol, Flachbandkabel, ohne Isolator"
4,D-SUB BU 15FB,"D-SUB-Buchse, 15-pol, Flachbandkabel, ohne Isolator"
3,D-SUB BU 25FB,"D-SUB-Buchse, 25-pol, Flachbandkabel, ohne Isolator"
5,PFL 16,"Pfostenbuchse, 16-polig, mit Zugentlastung"
10,PFL 26,"Pfostenbuchse, 26-polig, mit Zugentlastung"
52,SV U,"D-SUB-Befestigungssatz, 2 Bolzen mit Muttern"
1,NKSK CH 180,"Netzkabel, CH Stecker, Typ J, 1,8 m, schw, C13"
5,HAN 03 232 6824,"Federleiste C, gerade, 32-pol"
21,D-SUB BU 09,"D-SUB-Buchse, 9-polig, Lötkelch"
8,D-SUB ST 15,"D-SUB-Stecker, 15-polig, Lötkelch"
2,LIYCY 25-5,"Steuerleitung 25x0,14mm², geschirmt, 5m-Ring"
1,BGT 384-2,Gewindestreifen
4,LIYCY 04-5,"Steuerleitung 4x0,14mm², geschirmt, 5m-Ring"
6,HEBL 25,"Einbaubuchse Zentraleinbau, Ø außen: 5,6 mm, Ø innen: 2,5 mm"
2,HS 21-9,"Hohlstecker Knickschutz, Ø außen: 5,5 mm, Ø innen: 2,1 mm"
